Mot,Cat.Gram,Fréquence,numbre de lettres,structure morpho,Condition
tant,Adj,5.54,4.0,0-1-1,réel_haute_court_complexe
sort,V,5.05,4.0,0-1-1,réel_haute_court_complexe
sens,N,5.5,4.0,0-1-1,réel_haute_court_complexe
tous,pronoun/adj,6.11,4.0,0-1-1,réel_haute_court_complexe
base,N/Adj,5.3,4.0,0-1-1,réel_haute_court_complexe
vive,Adj,4.58,4.0,0-1-1,réel_haute_court_complexe
bons,Adj,4.95,4.0,0-1-1,réel_haute_court_complexe
mort,Adj,5.64,4.0,0-1-1,réel_haute_court_complexe
têtes,N,4.42,5.0,0-1-1,réel_haute_court_complexe
chats,N,4.27,5.0,0-1-1,réel_haute_court_complexe
ponts,N,4.21,5.0,0-1-1,réel_haute_court_complexe
mains,N,5.04,5.0,0-1-1,réel_haute_court_complexe
ailes,N,4.27,5.0,0-1-1,réel_haute_court_complexe
roues,N,4.22,5.0,0-1-1,réel_haute_court_complexe
belle,Adj,5.31,5.0,0-1-1,réel_haute_court_complexe
final,Adj,4.87,5.0,0-1-1,réel_haute_court_complexe
usage,N/Adj,4.83,5.0,0-1-1,réel_haute_court_complexe
idéal,Adj,4.47,5.0,0-1-1,réel_haute_court_complexe
malin,N,4.15,5.0,0-1-1,réel_haute_court_complexe
tueur,Adj,4.05,5.0,0-1-1,réel_haute_court_complexe
revue,N/Adj,4.72,5.0,0-1-1,réel_haute_court_complexe
enfin,Adv,5.47,5.0,1-1-0,réel_haute_court_complexe
remet,V,4.24,5.0,1-1-0,réel_haute_court_complexe
bottes,N,4.01,6.0,0-1-1,réel_haute_court_complexe
doigts,N,4.58,6.0,0-1-1,réel_haute_court_complexe
avions,N,4.74,6.0,0-1-1,réel_haute_court_complexe
pommes,N,4.21,6.0,0-1-1,réel_haute_court_complexe
livres,N,4.97,6.0,0-1-1,réel_haute_court_complexe
fleurs,N,4.67,6.0,0-1-1,réel_haute_court_complexe
cartes,N,4.67,6.0,0-1-1,réel_haute_court_complexe
normal,Adj,4.9,6.0,0-1-1,réel_haute_court_complexe
soirée,N,5.0,6.0,0-1-1,réel_haute_court_complexe
acteur,N,4.64,6.0,0-1-1,réel_haute_court_complexe
fierté,N,4.21,6.0,0-1-1,réel_haute_court_complexe
joueur,N,4.98,6.0,0-1-1,réel_haute_court_complexe
amitié,N,4.55,6.0,0-1-1,réel_haute_court_complexe
prénom,N,4.48,6.0,1-1-0,réel_haute_court_complexe
survie,N,4.24,6.0,1-1-0,réel_haute_court_complexe
oreille,N,4.39,7.0,0-1-0,réel_haut_long_simple
maillot,N,4.31,7.0,0-1-0,réel_haut_long_simple
guitare,N,4.2,7.0,0-1-0,réel_haut_long_simple
échelle,N,4.64,7.0,0-1-0,réel_haut_long_simple
briquet,N,3.33,7.0,0-1-0,réel_haut_long_simple
