Numéro,Mot,Cat.Gram,Fréquence,numbre de lettres,structure morpho,Condition,Nombre de lettres,orthographic neighborhood,Unnamed: 4,Numéro.1,Mot.1,Nombre de lettres.1,orthographic neighborhood.1
14,prénom,N,4.48,6.0,1-1-0,réel_haute_court_complexe,,,,,,,
15,survie,N,4.24,6.0,1-1-0,réel_haute_court_complexe,,,,,,,
1,oreille,N,4.39,7.0,0-1-0,réel_haut_long_simple,,,,,,,
2,maillot,N,4.31,7.0,0-1-0,réel_haut_long_simple,,,,,,,
3,guitare,N,4.2,7.0,0-1-0,réel_haut_long_simple,,,,,,,
4,échelle,N,4.64,7.0,0-1-0,réel_haut_long_simple,,,,,,,
5,briquet,N,3.33,7.0,0-1-0,réel_haut_long_simple,,,,,,,
6,chapeau,N,4.36,7.0,0-1-0,réel_haut_long_simple,,,,,,,
7,feuille,N,4.41,7.0,0-1-0,réel_haut_long_simple,,,,,,,
8,collier,N,4.09,7.0,0-1-0,réel_haut_long_simple,,,,,,,
9,serpent,N,4.02,7.0,0-1-0,réel_haut_long_simple,,,,,,,
10,conseil,N,88.05620609,7.0,0-1-0,réel_haut_long_simple,,,,,,,
11,liquide,N/Adj,71.8969555,7.0,0-1-0,réel_haut_long_simple,,,,,,,
12,constat,N,82.43559719,7.0,0-1-0,réel_haut_long_simple,,,,,,,
13,placide,Adj,73.53629977,7.0,0-1-0,réel_haut_long_simple,,,,,,,
14,bourbon,N/Adj,91.10070258,7.0,0-1-0,réel_haut_long_simple,,,,,,,
15,goudron,N,75.17564403,7.0,0-1-0,réel_haut_long_simple,,,,,,,
1,chocolat,N,4.49,8.0,0-1-0,réel_haut_long_simple,,,,,,,
2,assiette,N,4.07,8.0,0-1-0,réel_haut_long_simple,,,,,,,
3,ceinture,N,4.27,8.0,0-1-0,réel_haut_long_simple,,,,,,,
4,perruque,N,94.84777518,8.0,0-1-0,réel_haut_long_simple,,,,,,,
5,phalange,N,90.16393443,8.0,0-1-0,réel_haut_long_simple,,,,,,,
6,agricole,Adj,81.264637,8.0,0-1-0,réel_haut_long_simple,,,,,,,
7,gourmand,Adj/N,71.66276347,8.0,0-1-0,réel_haut_long_simple,,,,,,,
8,angoisse,N,71.19437939,8.0,0-1-0,réel_haut_long_simple,,,,,,,
9,amalgame,N,75.6440281,8.0,0-1-0,réel_haut_long_simple,,,,,,,
10,conquête,N,88.7587822,8.0,0-1-0,réel_haut_long_simple,,,,,,,
11,zodiaque,N,92.97423888,8.0,0-1-0,réel_haut_long_simple,,,,,,,
12,personne,N,93.91100703,8.0,0-1-0,réel_haut_long_simple,,,,,,,
