Word,Root,Wordlength,Structure,Lexicality,Length,Frequency,Morphological Complexity,Zipf Frequency,Condition
abracadabra,,11,r,real,long,low,simple,2.23,RLLS
catastrophe,,11,r,real,long,high,simple,4.23,RLHS
escarmouche,,11,r,real,long,low,simple,2.66,RLLS
chiquenaude,,11,r,real,long,low,simple,1.47,RLLS
grenouille,,10,r,real,long,medium,simple,3.66,RLHS
coqueluche,,10,r,real,long,low,simple,2.98,RLLS
corbillard,,10,r,real,long,low,simple,2.59,RLLS
guérillero,,10,r,real,long,low,simple,2.25,RLLS
holocauste,,10,r,real,long,low,simple,3.37,RLLS
caricature,,10,r,real,long,medium,simple,3.65,RLHS
cellophane,,10,r,real,long,low,simple,2.43,RLLS
rhinocéros,,10,r,real,long,low,simple,3.39,RLLS
ribambelle,,10,r,real,long,low,simple,2.73,RLLS
labyrinthe,,10,r,real,long,medium,simple,3.61,RLHS
salamandre,,10,r,real,long,low,simple,2.73,RLLS
diaphragme,,10,r,real,long,low,simple,3.0,RLLS
lieutenant,,10,r,real,long,high,simple,4.51,RLHS
caoutchouc,,10,r,real,long,medium,simple,3.8,RLHS
capharnaüm,,10,r,real,long,low,simple,2.36,RLLS
cappuccino,,10,r,real,long,low,simple,2.58,RLLS
accessoire,,10,r,real,long,medium,simple,3.65,RLHS
cathédrale,,10,r,real,long,high,simple,4.17,RLHS
escogriffe,,10,r,real,long,low,simple,1.66,RLLS
chambranle,,10,r,real,long,low,simple,2.15,RLLS
champignon,,10,r,real,long,medium,simple,3.54,RLHS
eucalyptus,,10,r,real,long,low,simple,3.04,RLLS
tintamarre,,10,r,real,long,low,simple,2.46,RLLS
tourbillon,,10,r,real,long,low,simple,3.42,RLLS
choucroute,,10,r,real,long,low,simple,3.05,RLLS
clandestin,,10,r,real,long,low,simple,3.48,RLLS
apocalypse,,10,r,real,long,medium,simple,3.79,RLHS
hiérarchie,,10,r,real,long,high,simple,4.06,RLHS
gingembre,,9,r,real,long,low,simple,3.2,RLLS
acquiesça,,9,r,real,long,low,simple,2.31,RLLS
phénomène,,9,r,real,long,high,simple,4.62,RLHS
consensus,,9,r,real,long,high,simple,4.04,RLHS
séquestre,,9,r,real,long,low,simple,2.98,RLLS
bourgeron,,9,r,real,long,low,simple,1.41,RLLS
piédestal,,9,r,real,long,low,simple,3.2,RLLS
bourgogne,,9,r,real,long,high,simple,4.16,RLHS
léthargie,,9,r,real,long,low,simple,2.88,RLLS
pissenlit,,9,r,real,long,low,simple,2.55,RLLS
sollicite,,9,r,real,long,low,simple,3.37,RLLS
pochetron,,9,r,real,long,low,simple,1.1,RLLS
copyright,,9,r,real,long,medium,simple,3.5,RLHS
manifeste,,9,r,real,long,high,simple,4.2,RLHS
manigance,,9,r,real,long,low,simple,2.39,RLLS
manoeuvre,,9,r,real,long,medium,simple,3.52,RLHS
cornichon,,9,r,real,long,low,simple,2.82,RLLS
guilleret,,9,r,real,long,low,simple,2.16,RLLS
guirlande,,9,r,real,long,low,simple,2.98,RLLS
habitacle,,9,r,real,long,low,simple,3.23,RLLS
hamburger,,9,r,real,long,low,simple,3.29,RLLS
bachelier,,9,r,real,long,low,simple,3.11,RLLS
bafouilla,,9,r,real,long,low,simple,1.07,RLLS
pourliche,,9,r,real,long,low,simple,1.18,RLLS
poussière,,9,r,real,long,high,simple,4.11,RLHS
