Word,Lemma,prs,freq,n_morphemes,Length,Lemma_Zipf_Frequency,Zipf_Frequency
doigté,doigt,"(0, 1, 1)",1.09,2,6,4.52,2.8
doubla,double,"(0, 1, 1)",63.99,2,6,4.99,2.04
dûment,devoir,"(0, 1, 1)",0.55,2,6,4.99,3.34
duplex,double,"(0, 1, 1)",0.42,2,6,4.99,3.19
courba,courbe,"(0, 1, 1)",2.67999999999999,2,6,4.09,1.24
crashé,crash,"(0, 1, 1)",0.97,2,6,3.97,2.46
creusa,creux,"(0, 1, 1)",26.3899999999999,2,6,3.98,2.01
criard,cri,"(0, 1, 1)",0.94,2,6,4.1,2.39
épicés,épice,"(0, 1, 1)",0.3,2,6,3.05,2.44
épousa,époux,"(0, 1, 1)",153.17,2,6,4.19,3.42
errant,errer,"(0, 1, 1)",3.7,2,6,3.09,3.28
espéra,espoir,"(0, 1, 1)",300.569999999999,2,6,4.73,1.77
essaya,essay,"(0, 1, 1)",450.24,2,6,2.66,3.09
estima,estim,"(0, 1, 1)",10.82,2,6,1.82,2.51
étoilé,étoile,"(0, 1, 1)",0.62,2,6,4.38,3.3
étudia,étude,"(0, 1, 1)",66.9299999999999,2,6,5.09,2.95
évasif,évader,"(0, 1, 1)",0.6,2,6,3.52,2.58
évêché,évêque,"(0, 1, 1)",0.14,2,6,4.38,3.33
décore,décor,"(0, 1, 1)",8.67,2,6,4.21,2.96
déifié,déi,"(0, 1, 1)",0.04,2,6,1.84,1.75
devina,devin,"(0, 1, 1)",71.07,2,6,3.29,1.9
dicton,dict,"(0, 1, 1)",2.83,2,6,2.42,3.22
fadeur,fade,"(0, 1, 1)",0.32,2,6,3.39,1.98
fautif,faute,"(0, 1, 1)",1.5,2,6,4.98,3.23
fêlure,fêler,"(0, 1, 1)",0.23,2,6,1.27,2.33
fessée,fesse,"(0, 1, 1)",4.07,2,6,3.27,3.21
fêtait,fête,"(0, 1, 1)",190.12,2,6,4.95,2.83
feutré,feutre,"(0, 1, 1)",0.33,2,6,3.18,2.52
filant,fil,"(0, 1, 1)",1.88999999999999,2,6,4.82,2.78
dureté,durer,"(0, 1, 1)",1.56,2,6,4.21,3.38
écarta,écart,"(0, 1, 1)",26.9,2,6,4.39,2.37
éclata,éclat,"(0, 1, 1)",39.46,2,6,3.95,2.98
égaler,égal,"(0, 1, 1)",1.12,2,6,4.23,3.24
émotif,émot,"(0, 1, 1)",2.52,2,6,0.0,3.19
épaulé,épaule,"(0, 1, 1)",0.12,2,6,4.22,2.9
croisa,croix,"(0, 1, 1)",31.29,2,6,4.64,2.63
crypté,crypt,"(0, 1, 1)",0.98,2,6,1.87,2.72
cubain,cuba,"(0, 1, 1)",5.89,2,6,4.01,3.35
cuivré,cuivre,"(0, 1, 1)",0.33,2,6,4.07,2.58
damier,dame,"(0, 1, 1)",0.42,2,6,4.82,2.86
ciselé,ciseau,"(0, 1, 1)",0.04,2,6,3.06,2.69
claqua,claque,"(0, 1, 1)",9.02,2,6,3.9,2.15
cocher,coche,"(0, 1, 1)",3.42,2,6,3.19,3.44
coffré,coffre,"(0, 1, 1)",4.72,2,6,4.11,2.0
coiffa,coiffe,"(0, 1, 1)",9.18,2,6,3.36,1.41
flirte,flirt,"(0, 1, 1)",5.04,2,6,3.26,3.02
flotta,flot,"(0, 1, 1)",26.48,2,6,3.7,1.62
forain,foir,"(0, 1, 1)",2.57999999999999,2,6,1.64,2.8
forçat,force,"(0, 1, 1)",1.26,2,6,5.22,2.42
fortin,fort,"(0, 1, 1)",0.32,2,6,5.34,3.32
fourbi,fourb,"(0, 1, 1)",1.07,2,6,0.0,2.07
freina,frein,"(0, 1, 1)",6.19,2,6,3.93,1.63
frérot,frère,"(0, 1, 1)",2.46,2,6,5.18,3.22
friqué,frique,"(0, 1, 1)",0.32,2,6,1.67,1.95
fumant,fumer,"(0, 1, 1)",2.29,2,6,4.24,3.18
excédé,excès,"(0, 1, 1)",1.0,2,6,4.2,3.04
excusa,excuse,"(0, 1, 1)",281.76,2,6,4.53,2.17
fabule,fable,"(0, 1, 1)",0.31,2,6,3.47,1.78
fumoir,fumer,"(0, 1, 1)",0.31,2,6,4.24,2.59
fuselé,fuseau,"(0, 1, 1)",0.01,2,6,3.09,1.64
fuyant,fuy,"(0, 1, 1)",2.53,2,6,1.01,3.48
fuyard,fuy,"(0, 1, 1)",1.18,2,6,1.01,2.55
gaffer,gaffe,"(0, 1, 1)",0.07,2,6,4.09,1.88
gaieté,gai,"(0, 1, 1)",2.81,2,6,3.63,3.06
galbée,galb,"(0, 1, 1)",0.02,2,6,0.0,1.78
gâteux,gât,"(0, 1, 1)",2.13,2,6,0.0,2.34
gazées,gaz,"(0, 1, 1)",0.02,2,6,4.82,1.39
gelait,gel,"(0, 1, 1)",28.62,2,6,3.98,2.07
filial,fil,"(0, 1, 1)",1.33,2,6,4.82,2.34
finaud,fin,"(0, 1, 1)",0.33,2,6,5.67,2.0
fixité,fixer,"(0, 1, 1)",0.14,2,6,4.14,2.16
fléché,flèche,"(0, 1, 1)",0.38,2,6,3.99,2.07
glaçon,glace,"(0, 1, 1)",7.46,2,6,4.63,2.88
gluant,glu,"(0, 1, 1)",2.03,2,6,2.68,2.7
grelot,grêle,"(0, 1, 1)",0.43,2,6,3.51,2.47
grossi,gros,"(0, 1, 1)",10.59,2,6,5.42,3.25
gueula,gueule,"(0, 1, 1)",4.38,2,6,4.79,1.12
guidon,guide,"(0, 1, 1)",1.26,2,6,4.5,3.26
hachis,hache,"(0, 1, 1)",1.07,2,6,3.69,2.47
fumeux,fumer,"(0, 1, 1)",0.05,2,6,4.24,2.4
fumier,fumer,"(0, 1, 1)",18.74,2,6,4.24,3.44
cornet,corne,"(0, 1, 1)",1.85,2,6,3.61,3.44
côtelé,côte,"(0, 1, 1)",0.16,2,6,4.81,2.06
côtoie,côté,"(0, 1, 1)",0.83,2,6,5.5,3.32
couplé,couple,"(0, 1, 1)",0.14,2,6,4.9,3.26
casqué,casque,"(0, 1, 1)",1.46,2,6,4.26,2.31
cavité,cave,"(0, 1, 1)",1.26,2,6,4.17,3.48
cerclé,cercle,"(0, 1, 1)",0.03,2,6,4.52,2.22
chanta,chant,"(0, 1, 1)",157.769999999999,2,6,4.29,2.56
charnu,chair,"(0, 1, 1)",0.72,2,6,4.23,2.63
chassa,chasse,"(0, 1, 1)",39.3499999999999,2,6,4.66,2.56
chromé,chrome,"(0, 1, 1)",0.2,2,6,3.69,2.54
halage,haler,"(0, 1, 1)",0.16,2,6,1.54,2.62
haussa,hausse,"(0, 1, 1)",0.85,2,6,4.53,2.59
heurta,heurt,"(0, 1, 1)",8.67,2,6,2.66,2.5
hochet,hocher,"(0, 1, 1)",0.88,2,6,2.35,2.61
intima,intime,"(0, 1, 1)",9.9,2,6,4.12,1.97
jeunot,jeune,"(0, 1, 1)",2.02,2,6,5.4,2.6
jovial,joie,"(0, 1, 1)",0.6,2,6,4.66,2.79
gêneur,gêne,"(0, 1, 1)",0.85,2,6,4.19,1.84
germer,germe,"(0, 1, 1)",0.23,2,6,3.17,2.92
ciller,cil,"(0, 1, 1)",0.04,2,6,2.95,2.38
cinglé,cingle,"(0, 1, 1)",37.53,2,6,2.03,3.02
cirage,cire,"(0, 1, 1)",2.08,2,6,3.79,2.61
cireux,cire,"(0, 1, 1)",0.06,2,6,3.79,1.95
bronzé,bronze,"(0, 1, 1)",6.26,2,6,4.23,3.05
brossa,brosse,"(0, 1, 1)",4.18,2,6,3.84,1.67
bûcher,bûche,"(0, 1, 1)",3.90999999999999,2,6,3.04,3.38
buttés,butte,"(0, 1, 1)",0.0,2,6,3.52,1.08
buvard,boire,"(0, 1, 1)",0.12,2,6,4.62,2.33
buveur,boire,"(0, 1, 1)",2.16,2,6,4.62,2.88
cabrer,cabri,"(0, 1, 1)",0.01,2,6,2.43,2.11
cachot,cacher,"(0, 1, 1)",3.67,2,6,4.46,3.11
cadrer,cadre,"(0, 1, 1)",0.64,2,6,5.11,2.98
lactée,lact,"(0, 1, 1)",0.75,2,6,1.21,3.17
laveur,laver,"(0, 1, 1)",1.51,2,6,4.16,3.01
lavoir,laver,"(0, 1, 1)",0.15,2,6,4.16,3.03
lettré,lettre,"(0, 1, 1)",0.25,2,6,4.92,2.86
liasse,lier,"(0, 1, 1)",0.65,2,6,3.74,3.0
limant,lime,"(0, 1, 1)",0.16,2,6,3.19,1.15
loueur,louer,"(0, 1, 1)",0.41,2,6,4.17,2.83
luxure,luxe,"(0, 1, 1)",2.92,2,6,4.45,3.0
sachet,sac,"(0, 1, 1)",4.37,2,6,4.8,3.37
saleté,sale,"(0, 1, 1)",11.96,2,6,4.62,3.34
salins,sel,"(0, 1, 1)",0.0,2,6,4.38,3.0
sapeur,saper,"(0, 1, 1)",0.77,2,6,3.02,2.78
lycéen,lycée,"(0, 1, 1)",3.54,2,6,4.75,3.42
maigri,maigre,"(0, 1, 1)",4.91,2,6,3.85,2.75
marqua,marque,"(0, 1, 1)",35.6199999999999,2,6,5.02,3.05
massue,masser,"(0, 1, 1)",0.57,2,6,3.22,3.08
mâture,mât,"(0, 1, 1)",0.14,2,6,3.35,2.49
mécano,mécan,"(0, 1, 1)",1.68,2,6,1.09,2.96
médusé,méduse,"(0, 1, 1)",0.16,2,6,3.14,2.33
menaça,menace,"(0, 1, 1)",35.94,2,6,4.6,2.42
mesura,mesure,"(0, 1, 1)",12.37,2,6,5.2,1.92
meublé,meuble,"(0, 1, 1)",1.69,2,6,3.73,3.08
miette,mie,"(0, 1, 1)",8.67,2,6,3.43,3.01
mutant,muter,"(0, 1, 1)",6.92,2,6,2.77,3.1
myopie,myope,"(0, 1, 1)",0.29,2,6,2.94,2.9
nageur,nage,"(0, 1, 1)",1.9,2,6,3.79,3.32
riante,rire,"(0, 1, 1)",0.28,2,6,4.79,2.03
rieurs,rire,"(0, 1, 1)",0.56,2,6,4.79,2.41
rivage,rive,"(0, 1, 1)",5.46,2,6,4.25,3.48
rocker,rock,"(0, 1, 1)",1.52,2,6,4.48,2.82
rôdeur,rôder,"(0, 1, 1)",1.33999999999999,2,6,2.53,2.61
rondin,rond,"(0, 1, 1)",0.76,2,6,4.27,2.24
rosace,rose,"(0, 1, 1)",0.0,2,6,4.72,2.77
rosier,rose,"(0, 1, 1)",0.85,2,6,4.72,2.98
rouget,rouge,"(0, 1, 1)",0.35,2,6,5.13,2.76
roulis,rouler,"(0, 1, 1)",0.56,2,6,4.16,2.74
ruades,ruer,"(0, 1, 1)",0.01,2,6,2.82,1.81
odorat,odeur,"(0, 1, 1)",1.28,2,6,4.4,3.17
orangé,orange,"(0, 1, 1)",0.34,2,6,4.6,3.1
ouatée,ouate,"(0, 1, 1)",0.0,2,6,2.8,1.51
oublia,oubli,"(0, 1, 1)",517.02,2,6,3.97,2.47
pâleur,pâle,"(0, 1, 1)",1.38,2,6,3.81,2.47
modelé,modèle,"(0, 1, 1)",1.7,2,6,4.97,2.82
mollet,mou,"(0, 1, 1)",1.81999999999999,2,6,3.85,3.34
mollit,mou,"(0, 1, 1)",0.26,2,6,3.85,1.43
motard,moto,"(0, 1, 1)",4.02,2,6,4.31,3.43
muscat,musc,"(0, 1, 1)",0.36,2,6,2.81,2.74
musclé,muscle,"(0, 1, 1)",3.37,2,6,3.82,3.43
calmos,calme,"(0, 1, 1)",1.69,2,6,4.86,2.58
captif,capter,"(0, 1, 1)",1.41,2,6,3.71,3.05
cariée,carie,"(0, 1, 1)",0.28,2,6,2.93,1.34
beurré,beurre,"(0, 1, 1)",0.92,2,6,4.29,2.65
biaise,biais,"(0, 1, 1)",0.06,2,6,4.29,2.45
biquet,bique,"(0, 1, 1)",0.54,2,6,2.21,1.97
blêmit,blême,"(0, 1, 1)",0.28,2,6,2.59,1.43
bloqua,bloc,"(0, 1, 1)",39.84,2,6,4.49,2.04
bluffe,bluff,"(0, 1, 1)",4.06,2,6,3.38,2.29
boisée,boire,"(0, 1, 1)",0.18,2,6,4.62,2.98
penaud,pen,"(0, 1, 1)",0.2,2,6,4.55,2.47
pensif,penser,"(0, 1, 1)",0.799999999999999,2,6,5.08,2.68
perché,perche,"(0, 1, 1)",1.74,2,6,3.59,3.39
persan,perse,"(0, 1, 1)",0.34,2,6,3.66,3.24
pétard,pét,"(0, 1, 1)",7.18999999999999,2,6,1.53,3.26
