Pseudoword,Word,Lemma,Levenshtein_Distance,prs,n_morphemes,Length
ngémo,mémo,mémo,6,"(0, 1, 0)",1,5
ragng,rang,rang,6,"(0, 1, 0)",1,5
lanch,ranch,ranch,6,"(0, 1, 0)",1,5
laids,raids,raid,7,"(0, 1, 0)",1,5
ladin,radin,radin,7,"(0, 1, 0)",1,5
ladar,radar,radar,6,"(0, 1, 0)",1,5
râbre,râble,râble,7,"(0, 1, 0)",1,5
qyota,quota,quota,6,"(0, 1, 0)",1,5
ngien,mien,mien,7,"(0, 1, 0)",1,5
gniel,miel,miel,7,"(0, 1, 0)",1,5
gnidi,midi,midi,7,"(0, 1, 0)",1,5
niche,miche,miche,7,"(0, 1, 0)",1,5
miaow,miaou,miaou,5,"(0, 1, 0)",1,5
neute,meute,meute,7,"(0, 1, 0)",1,5
mètle,mètre,mètre,7,"(0, 1, 0)",1,5
métar,métal,métal,7,"(0, 1, 0)",1,5
qualt,quart,quart,7,"(0, 1, 0)",1,5
quamt,quant,quant,7,"(0, 1, 0)",1,5
pulin,purin,purin,7,"(0, 1, 0)",1,5
pwrée,purée,purée,7,"(0, 1, 0)",1,5
purpe,pulpe,pulpe,7,"(0, 1, 0)",1,5
ngode,mode,mode,6,"(0, 1, 0)",1,5
mitle,mitre,mitre,7,"(0, 1, 0)",1,5
milos,miros,miros,6,"(0, 1, 0)",1,5
minys,minus,minus,5,"(0, 1, 0)",1,5
minow,minou,minou,4,"(0, 1, 0)",1,5
gnini,mini,mini,6,"(0, 1, 0)",1,5
mimet,minet,minet,6,"(0, 1, 0)",1,5
ladio,radio,radio,6,"(0, 1, 0)",1,5
pybis,pubis,pubis,7,"(0, 1, 0)",1,5
prwne,prune,prune,7,"(0, 1, 0)",1,5
plude,prude,prude,7,"(0, 1, 0)",1,5
ploue,proue,proue,5,"(0, 1, 0)",1,5
plose,prose,prose,6,"(0, 1, 0)",1,5
plolo,prolo,prolo,6,"(0, 1, 0)",1,5
molal,moral,moral,6,"(0, 1, 0)",1,5
gnôme,môme,môme,7,"(0, 1, 0)",1,5
morle,molle,mou,6,"(0, 1, 0)",1,5
ngoka,moka,moka,6,"(0, 1, 0)",1,5
ngois,mois,mois,6,"(0, 1, 0)",1,5
qweue,queue,queue,6,"(0, 1, 0)",1,5
plône,prône,prôner,7,"(0, 1, 0)",1,5
plêté,prêté,prêté,7,"(0, 1, 0)",1,5
plête,prête,prête,7,"(0, 1, 0)",1,5
plêta,prêta,prêta,7,"(0, 1, 0)",1,5
polte,porte,porte,6,"(0, 1, 0)",1,5
belge,berge,berge,6,"(0, 1, 0)",1,5
bélet,béret,béret,6,"(0, 1, 0)",1,5
bemêt,benêt,benêt,5,"(0, 1, 0)",1,5
berge,belge,belge,6,"(0, 1, 0)",1,5
beayx,beaux,beau,5,"(0, 1, 0)",1,5
bazal,bazar,bazar,5,"(0, 1, 0)",1,5
bayoy,bayou,bayou,4,"(0, 1, 0)",1,5
baune,baume,baume,6,"(0, 1, 0)",1,5
ramge,range,ranger,6,"(0, 1, 0)",1,5
ploie,proie,proie,6,"(0, 1, 0)",1,5
notus,motus,motus,5,"(0, 1, 0)",1,5
moter,motel,motel,6,"(0, 1, 0)",1,5
norue,morue,morue,5,"(0, 1, 0)",1,5
molse,morse,morse,6,"(0, 1, 0)",1,5
