Word,Lemma,prs,freq,n_morphemes,Length,Lemma_Zipf_Frequency,Zipf_Frequency
sucrerie,sucre,"(0, 1, 1)",2.82,2,8,4.47,2.85
retourna,tour,"(1, 1, 1)",245.64,3,8,5.37,3.46
rétracte,tract,"(1, 1, 1)",0.86,3,8,3.28,2.69
réveilla,éveil,"(1, 1, 1)",173.54,3,8,3.53,2.73
surgelée,gel,"(1, 1, 1)",1.27,3,8,3.98,2.12
sursauta,saut,"(1, 1, 1)",1.61999999999999,3,8,4.15,2.26
symbiose,symbi,"(0, 1, 1)",0.68,2,8,0.0,3.06
symbiote,symbi,"(0, 1, 1)",4.04,2,8,0.0,2.28
tantinet,tante,"(0, 1, 1)",1.02,2,8,4.15,2.94
obscurci,obscur,"(0, 1, 1)",0.909999999999999,2,8,3.73,2.32
négation,négat,"(0, 1, 1)",1.78,2,8,0.0,3.45
souscrit,écrire,"(1, 1, 0)",0.23,2,8,4.87,3.47
suraiguë,aigu,"(1, 1, 0)",0.03,2,8,3.53,1.32
surfaite,faire,"(1, 1, 0)",0.13,2,8,6.34,2.2
recourbé,courbe,"(1, 1, 1)",0.06,3,8,4.09,2.19
recroise,croix,"(1, 1, 1)",0.04,3,8,4.64,2.23
recycler,cycle,"(1, 1, 1)",0.56,3,8,4.43,3.25
redoubla,double,"(1, 1, 1)",1.75999999999999,3,8,4.99,1.69
relooker,look,"(1, 1, 1)",0.07,3,8,4.12,2.21
remarche,marche,"(1, 1, 1)",1.14,3,8,5.16,2.41
remarqua,marque,"(1, 1, 1)",68.91,3,8,5.02,2.98
remercia,merci,"(1, 1, 1)",111.36,3,8,5.62,2.43
muraille,mur,"(0, 1, 1)",2.6,2,8,4.74,3.46
muscadet,muscade,"(0, 1, 1)",0.3,2,8,2.8,2.4
nageoire,nage,"(0, 1, 1)",1.1,2,8,3.79,2.83
naissant,naître,"(0, 1, 1)",1.01,2,8,3.95,3.18
napperon,nappe,"(0, 1, 1)",0.51,2,8,3.54,2.07
narratif,narrer,"(0, 1, 1)",0.05,2,8,2.44,3.27
