Pseudoword,Word,Lemma,Levenshtein_Distance,prs,n_morphemes,Length
piqwet,piquet,piquer,7,"(0, 1, 1)",2,6.0
pipeay,pipeau,pipe,6,"(0, 1, 1)",2,6.0
pignça,pinça,pince,6,"(0, 1, 1)",2,6.0
piroté,piloté,pilote,6,"(0, 1, 1)",2,6.0
pétald,pétard,pét,7,"(0, 1, 1)",2,6.0
pesamt,pesant,peser,7,"(0, 1, 1)",2,6.0
pelché,perché,perche,7,"(0, 1, 1)",2,6.0
pelwre,pelure,peler,6,"(0, 1, 1)",2,6.0
peigma,peigna,peigne,7,"(0, 1, 1)",2,6.0
pausel,pauser,pause,6,"(0, 1, 1)",2,6.0
paunga,pauma,paume,7,"(0, 1, 1)",2,6.0
palure,parure,parer,6,"(0, 1, 1)",2,6.0
lefusa,refusa,refus,7,"(0, 1, 1)",2,6.0
lecula,recula,recul,7,"(0, 1, 1)",2,6.0
lavagé,ravagé,ravage,7,"(0, 1, 1)",2,6.0
lamées,ramées,rame,7,"(0, 1, 1)",2,6.0
lâlait,râlait,râle,7,"(0, 1, 1)",2,6.0
ladier,radier,radi,6,"(0, 1, 1)",2,6.0
qyêtai,quêtai,quête,7,"(0, 1, 1)",2,6.0
pwbien,pubien,pubis,7,"(0, 1, 1)",2,6.0
plieur,prieur,pri,5,"(0, 1, 1)",2,6.0
powpin,poupin,poup,6,"(0, 1, 1)",2,6.0
poylet,poulet,poule,6,"(0, 1, 1)",2,6.0
pognte,ponte,pont,5,"(0, 1, 1)",2,6.0
actiom,action,acte,6,"(0, 1, 1)",2,6.0
acteul,acteur,acte,5,"(0, 1, 1)",2,6.0
barlon,ballon,balle,5,"(0, 1, 1)",2,6.0
vocare,vocale,vouer,6,"(0, 1, 1)",2,6.0
vitlée,vitrée,vitre,7,"(0, 1, 1)",2,6.0
visewr,viseur,voir,5,"(0, 1, 1)",2,6.0
vilage,virage,virer,7,"(0, 1, 1)",2,6.0
velset,verset,verse,7,"(0, 1, 1)",2,6.0
vamité,vanité,vain,6,"(0, 1, 1)",2,6.0
varlée,vallée,val,7,"(0, 1, 1)",2,6.0
valewr,valeur,valoir,5,"(0, 1, 1)",2,6.0
usuers,usuels,user,7,"(0, 1, 1)",2,6.0
wsités,usités,user,7,"(0, 1, 1)",2,6.0
rowssi,roussi,roux,6,"(0, 1, 1)",2,6.0
risqwa,risqua,risque,6,"(0, 1, 1)",2,6.0
limait,rimait,rime,7,"(0, 1, 1)",2,6.0
lésiné,résiné,résine,7,"(0, 1, 1)",2,6.0
leposa,reposa,repos,6,"(0, 1, 1)",2,6.0
lepéra,repéra,repère,7,"(0, 1, 1)",2,6.0
lejeta,rejeta,rejet,6,"(0, 1, 1)",2,6.0
twerie,tuerie,tuer,7,"(0, 1, 1)",2,6.0
tliage,triage,tri,7,"(0, 1, 1)",2,6.0
tliade,triade,tri,7,"(0, 1, 1)",2,6.0
tiloir,tiroir,tir,5,"(0, 1, 1)",2,6.0
tileur,tireur,tir,5,"(0, 1, 1)",2,6.0
tilage,tirage,tir,7,"(0, 1, 1)",2,6.0
tilade,tirade,tir,7,"(0, 1, 1)",2,6.0
tielce,tierce,tier,7,"(0, 1, 1)",2,6.0
tétogn,téton,téter,6,"(0, 1, 1)",2,6.0
teneyr,teneur,tenir,4,"(0, 1, 1)",2,6.0
temace,tenace,tenir,6,"(0, 1, 1)",2,6.0
sondel,sonder,sonde,4,"(0, 1, 1)",2,6.0
sognmé,sommé,somme,6,"(0, 1, 1)",2,6.0
simger,singer,singe,5,"(0, 1, 1)",2,6.0
siggna,signa,signe,7,"(0, 1, 1)",2,6.0
sengsé,sensé,sentir,6,"(0, 1, 1)",2,6.0
serler,seller,selle,6,"(0, 1, 1)",2,6.0
scerlé,scellé,sceau,7,"(0, 1, 1)",2,6.0
sawcer,saucer,sauce,6,"(0, 1, 1)",2,6.0
satamé,satané,satan,7,"(0, 1, 1)",2,6.0
saoura,saoula,saoul,6,"(0, 1, 1)",2,6.0
