Word,Lexicality,Size,Length,Frequency,Zipf Frequency,Morphology,Part of Speech,Phonemes,Condition,Root,Lemma,Zipf Lemma Frequency
camera,real,short,6,high,4.87,simple,NOUN,"['K', 'AE1', 'M', 'ER0', 'AH0']",RSHS,,camera,4.87
strong,real,short,6,high,5.22,simple,ADJ,"['S', 'T', 'R', 'AO1', 'NG']",RSHS,,strong,5.22
dare,real,short,4,high,4.31,simple,VERB,"['D', 'EH1', 'R']",RSHS,,dare,4.31
rain,real,short,4,high,4.71,simple,NOUN,"['R', 'EY1', 'N']",RSHS,,rain,4.71
tank,real,short,4,high,4.57,simple,NOUN,"['T', 'AE1', 'NG', 'K']",RSHS,,tank,4.57
iron,real,short,4,high,4.74,simple,NOUN,"['AY1', 'ER0', 'N']",RSHS,,iron,4.74
bear,real,short,4,high,4.71,simple,VERB,"['B', 'EH1', 'R']",RSHS,,bear,4.71
radio,real,short,5,high,5.01,simple,NOUN,"['R', 'EY1', 'D', 'IY0', 'OW2']",RSHS,,radio,5.01
cherry,real,short,6,high,4.18,simple,NOUN,"['CH', 'EH1', 'R', 'IY0']",RSHS,,cherry,4.18
guitar,real,short,6,high,4.48,simple,NOUN,"['G', 'IH0', 'T', 'AA1', 'R']",RSHS,,guitar,4.48
large,real,short,5,high,5.39,simple,ADJ,"['L', 'AA1', 'R', 'JH']",RSHS,,large,5.39
truck,real,short,5,high,4.64,simple,NOUN,"['T', 'R', 'AH1', 'K']",RSHS,,truck,4.64
establish,real,long,9,high,4.46,simple,VERB,"['IH0', 'S', 'T', 'AE1', 'B', 'L', 'IH0', 'SH']",RLHS,,establish,4.46
shoulder,real,long,8,high,4.5,simple,NOUN,"['SH', 'OW1', 'L', 'D', 'ER0']",RLHS,,shoulder,4.5
straight,real,long,8,high,5.04,simple,ADJ,"['S', 'T', 'R', 'EY1', 'T']",RLHS,,straight,5.04
satellite,real,long,9,high,4.33,simple,NOUN,"['S', 'AE1', 'T', 'AH0', 'L', 'AY2', 'T']",RLHS,,satellite,4.33
character,real,long,9,high,5.11,simple,NOUN,"['K', 'EH1', 'R', 'IH0', 'K', 'T', 'ER0']",RLHS,,character,5.11
immediate,real,long,9,high,4.52,simple,ADJ,"['IH0', 'M', 'IY1', 'D', 'IY0', 'AH0', 'T']",RLHS,,immediate,4.52
gravity,real,long,7,high,4.21,simple,NOUN,"['G', 'R', 'AE1', 'V', 'AH0', 'T', 'IY0']",RLHS,,gravity,4.21
village,real,long,7,high,4.82,simple,NOUN,"['V', 'IH1', 'L', 'AH0', 'JH']",RLHS,,village,4.82
natural,real,long,7,high,5.11,simple,ADJ,"['N', 'AE1', 'CH', 'ER0', 'AH0', 'L']",RLHS,,natural,5.11
despite,real,long,7,high,5.0,simple,SCONJ,"['D', 'IH0', 'S', 'P', 'AY1', 'T']",RLHS,,despite,5.0
kitchen,real,long,7,high,4.65,simple,NOUN,"['K', 'IH1', 'CH', 'AH0', 'N']",RLHS,,kitchen,4.65
sandwich,real,long,8,high,4.13,simple,NOUN,"['S', 'AE1', 'N', 'D', 'W', 'IH0', 'CH']",RLHS,,sandwich,4.13
architect,real,long,9,high,4.08,simple,NOUN,"['AA1', 'R', 'K', 'AH0', 'T', 'EH2', 'K', 'T']",RLHS,,architect,4.08
gorgeous,real,long,8,high,4.35,simple,ADJ,"['G', 'AO1', 'R', 'JH', 'AH0', 'S']",RLHS,,gorgeous,4.35
calendar,real,long,8,high,4.3,simple,NOUN,"['K', 'AE1', 'L', 'AH0', 'N', 'D', 'ER0']",RLHS,,calendar,4.3
peddle,real,short,6,low,2.76,simple,VERB,"['P', 'EH1', 'D', 'AH0', 'L']",RSLS,,peddle,2.76
hoist,real,short,5,low,3.12,simple,VERB,"['HH', 'OY1', 'S', 'T']",RSLS,,hoist,3.12
acorn,real,short,5,low,3.08,simple,NOUN,"['EY1', 'K', 'AO0', 'R', 'N']",RSLS,,acorn,3.08
ramble,real,short,6,low,2.85,simple,VERB,"['R', 'AE1', 'M', 'B', 'AH0', 'L']",RSLS,,ramble,2.85
mingle,real,short,6,low,3.21,simple,VERB,"['M', 'IH1', 'NG', 'G', 'AH0', 'L']",RSLS,,mingle,3.21
quiver,real,short,6,low,2.84,simple,NOUN,"['K', 'W', 'IH1', 'V', 'ER0']",RSLS,,quiver,2.84
ajar,real,short,4,low,2.57,simple,ADJ,"['AH0', 'JH', 'AA1', 'R']",RSLS,,ajar,2.57
balk,real,short,4,low,2.72,simple,VERB,"['B', 'AO1', 'K']",RSLS,,balk,2.72
lore,real,short,4,low,3.55,simple,NOUN,"['L', 'AO1', 'R']",RSLS,,lore,3.55
rake,real,short,4,low,3.38,simple,VERB,"['R', 'EY1', 'K']",RSLS,,rake,3.38
heft,real,short,4,low,2.75,simple,NOUN,"['HH', 'EH1', 'F', 'T']",RSLS,,heft,2.75
scour,real,short,5,low,2.97,simple,VERB,"['S', 'K', 'AW1', 'ER0']",RSLS,,scour,2.97
trifle,real,short,6,low,2.93,simple,VERB,"['B', 'UH1', 'L', 'AH0', 'T']",RSLS,,trifle,2.93
broom,real,short,5,low,3.42,simple,VERB,"['B', 'R', 'UW1', 'M']",RSLS,,broom,3.42
leery,real,short,5,low,2.58,simple,ADJ,"['L', 'IH1', 'R', 'IY0']",RSLS,,leery,2.58
beautiful,real,long,9,high,5.22,complex,ADJ,"['B', 'Y', 'UW1', 'T', 'IH0', 'F', 'AH0', 'L']",RLHC,,beauty,4.75
northern,real,long,8,high,4.85,complex,ADJ,"['N', 'AO1', 'R', 'DH', 'ER0', 'N']",RLHC,,north,5.34
pictures,real,long,8,high,4.92,complex,NOUN,"['P', 'IH1', 'K', 'CH', 'ER0', 'Z']",RLHC,,picture,5.13
seriously,real,long,9,high,4.94,complex,ADV,"['S', 'IH1', 'R', 'IY0', 'AH0', 'S', 'L', 'IY0']",RLHC,,serious,5.1
disappear,real,long,9,high,4.09,complex,VERB,"['D', 'IH2', 'S', 'AH0', 'P', 'IH1', 'R']",RLHC,,appear,4.85
receiving,real,long,9,high,4.59,complex,VERB,"['R', 'AH0', 'S', 'IY1', 'V', 'IH0', 'NG']",RLHC,,receive,4.85
genetic,real,long,7,high,4.34,complex,ADJ,"['JH', 'AH0', 'N', 'EH1', 'T', 'IH0', 'K']",RLHC,,gene,4.36
officer,real,long,7,high,5.03,complex,NOUN,"['AO1', 'F', 'AH0', 'S', 'ER0']",RLHC,,office,5.4
illegal,real,long,7,high,4.68,complex,ADJ,"['IH2', 'L', 'IY1', 'G', 'AH0', 'L']",RLHC,,legal,5.08
coastal,real,long,7,high,4.19,complex,ADJ,"['K', 'OW1', 'S', 'T', 'AH0', 'L']",RLHC,,coast,4.87
farmers,real,long,7,high,4.43,complex,NOUN,"['F', 'AA1', 'R', 'M', 'ER0', 'Z']",RLHC,,farm,4.75
mentally,real,long,8,high,4.2,complex,ADV,"['M', 'EH1', 'N', 'T', 'AH0', 'L', 'IY0']",RLHC,,mental,4.83
criminals,real,long,9,high,4.15,complex,NOUN,"['K', 'R', 'IH1', 'M', 'AH0', 'N', 'AH0', 'L', 'Z']",RLHC,,crime,4.89
disagree,real,long,8,high,4.09,complex,VERB,"['D', 'IH0', 'S', 'AH0', 'G', 'R', 'IY1']",RLHC,,agree,4.97
clinical,real,long,8,high,4.51,complex,ADJ,"['K', 'L', 'IH1', 'N', 'AH0', 'K', 'AH0', 'L']",RLHC,,clinic,4.21
hearts,real,short,6,high,4.44,complex,NOUN,"['HH', 'AA1', 'R', 'T', 'S']",RSHC,,heart,5.31
daily,real,short,5,high,5.07,complex,ADV,"['D', 'EY1', 'L', 'IY0']",RSHC,,day,5.95
actor,real,short,5,high,4.65,complex,NOUN,"['AE1', 'K', 'T', 'ER0']",RSHC,,act,5.3
writes,real,short,6,high,4.36,complex,VERB,"['R', 'AY1', 'T', 'S']",RSHC,,write,5.03
across,real,short,6,high,5.25,complex,ADP,"['AH0', 'K', 'R', 'AO1', 'S']",RSHC,,cross,5.0
trains,real,short,6,high,4.27,complex,NOUN,"['T', 'R', 'EY1', 'N', 'Z']",RSHC,,train,4.96
worn,real,short,4,high,4.26,complex,VERB,"['W', 'AO1', 'R', 'N']",RSHC,,wear,4.92
user,real,short,4,high,4.69,complex,NOUN,"['Y', 'UW1', 'Z', 'ER0']",RSHC,,use,5.81
unit,real,short,4,high,4.96,complex,NOUN,"['Y', 'UW1', 'N', 'AH0', 'T']",RSHC,,unit,4.95
